custentity_hs_vid,salesreadines,buyingtimeframe,buyingreason,Projected Value
61012801,,,,"$39,000 - $44,000"
64633401,,,,"$39,000 - $44,000"
63303201,,,,"$15,000 - $29,000"
65553166,,,,"$39,000 - $44,000"
62921001,,,,"$15,000"
62093401,,,,"$15,000 - $29,000"
60897101,,,,"$15,000 - $29,000"
64546101,,,,"$15,000 - $29,000"
65877251,,,,"$15,000 - $29,000"
61551451,,,,"$15,000"
62582601,,,,"$39,000 - $44,000"
63990051,,,,"$39,000 - $44,000"
61310301,,,,"$15,000 - $29,000"
62076751,,,,"$15,000 - $29,000"
62243401,,,,"$15,000 - $29,000"
61391701,,,,"$15,000 - $29,000"
69272101,,,,"$39,000 - $44,000"
66370801,,,,"$15,000 - $29,000"
68771601,,,,"$15,000 - $29,000"
71357001,,,,"$15,000 - $29,000"
73864301,,,,"$15,000 - $29,000"
68137501,,,,"$15,000 - $29,000"
68865801,,,,"$15,000 - $29,000"
66206951,,,,"$15,000"
69606451,,,,"$15,000 - $29,000"
66902251,,,,"$15,000 - $29,000"
67576351,,,,"$39,000 - $44,000"
69013251,,,,"$15,000 - $29,000"
69543951,,,,"$15,000 - $29,000"
70825751,,,,"$39,000 - $44,000"
72410751,,,,"$15,000 - $29,000"
69154351,,,,"$39,000 - $44,000"
72263551,,,,"$15,000 - $29,000"
71093001,,,,"$15,000 - $29,000"
66776001,,,,"$15,000 - $29,000"
67641651,,,,"$39,000 - $44,000"
72146551,,,,"$15,000 - $29,000"
67581755,,,,"$15,000 - $29,000"
73524001,,,,"$15,000 - $29,000"
71693056,,,,"$15,000 - $29,000"
69553251,,,,"$15,000 - $29,000"
72425751,,,,"$15,000 - $29,000"
68868701,,,,"$15,000 - $29,000"
68631901,Warm,,,
72809501,,,,"$15,000 - $29,000"
67141201,,,,"$15,000 - $29,000"
66160551,,,,"$39,000 - $44,000"
66149801,,,,"$15,000 - $29,000"
69473151,,,,"$15,000 - $29,000"
67979601,,,,"$15,000"
70086001,,,,"$15,000 - $29,000"
66341801,,,,"$15,000"
66354601,,,,"$15,000 - $29,000"
69607801,,,,"$15,000 - $29,000"
68319601,,,,"$15,000 - $29,000"
68422001,,,,"$39,000 - $44,000"
73386551,,,,"$15,000 - $29,000"
66387101,,,,"$39,000 - $44,000"
69742401,,,,"$15,000 - $29,000"
73469451,,,,"$15,000 - $29,000"
72573501,,,,"$15,000 - $29,000"
71624501,,,,"$15,000 - $29,000"
70178651,,,,"$15,000 - $29,000"
67814001,,,,"$15,000 - $29,000"
72008501,,,,"$15,000 - $29,000"
72379951,,,,"$15,000 - $29,000"
72616151,,,,"$39,000 - $44,000"
69300901,,,,"$15,000 - $29,000"
66102901,,,,"$15,000 - $29,000"
73394901,,,,"$39,000 - $44,000"
70277051,,,,"$15,000 - $29,000"
73413101,,,,"$15,000 - $29,000"
70748601,,,,"$15,000 - $29,000"
73318351,,,,"$15,000 - $29,000"
70981801,,,,"$39,000 - $44,000"
70465451,,,,"$15,000 - $29,000"
69536956,,,,"$15,000 - $29,000"
68931201,,,,"$15,000 - $29,000"
72684751,,,,"$39,000 - $44,000"
66607451,,,,"$15,000 - $29,000"
68570801,,,,"$15,000 - $29,000"
73803201,,,,"$15,000 - $29,000"
72712701,,,,"$15,000 - $29,000"
67666851,,,,"$15,000 - $29,000"
71059351,,,,"$15,000 - $29,000"
66283101,Cold,,,"$15,000"
67365301,,,,"$15,000 - $29,000"
66012501,,,,"$15,000 - $29,000"
66468151,,,,"$15,000 - $29,000"
67223751,,,,"$15,000 - $29,000"
72135051,,,,"$15,000 - $29,000"
73022601,,,,"$15,000 - $29,000"
69506801,,,,"$39,000 - $44,000"
67415251,,,,"$15,000 - $29,000"
68994251,,,,"$15,000 - $29,000"
68669901,,,,"$15,000 - $29,000"
72124051,,,,"$15,000 - $29,000"
66316051,,,,"$15,000 - $29,000"
73067451,,,,"$15,000 - $29,000"
